team,total_shootouts,shootouts_won,penalty_win_rate
Abkhazia,6,2,0.3333333333333333
Alderney,1,0,0.5
Algeria,15,7,0.4666666666666667
Andorra,1,0,0.5
Angola,10,7,0.7
Anguilla,1,1,0.5
Antigua and Barbuda,2,2,0.5
Argentina,23,15,0.6521739130434783
Armenia,1,0,0.5
Aruba,2,1,0.5
Australia,8,5,0.625
Austria,2,0,0.5
Azerbaijan,1,1,0.5
Bahrain,3,3,1.0
Bangladesh,5,2,0.4
Barbados,2,1,0.5
Basque Country,1,1,0.5
Belarus,3,1,0.3333333333333333
Belgium,2,2,0.5
Benin,3,3,1.0
Bolivia,2,1,0.5
Bosnia and Herzegovina,4,3,0.75
Botswana,13,8,0.6153846153846154
Brazil,16,9,0.5625
British Virgin Islands,3,2,0.6666666666666666
Bulgaria,1,1,0.5
Burkina Faso,11,6,0.5454545454545454
Burundi,4,0,0.0
Cabo Verde,5,2,0.4
Cambodia,3,0,0.0
Cameroon,18,9,0.5
Canada,8,3,0.375
Cascadia,1,0,0.5
Central African Republic,3,1,0.3333333333333333
Chad,5,3,0.6
Chagos Islands,2,1,0.5
Chameria,2,0,0.5
Chile,10,5,0.5
China PR,10,4,0.4
Colombia,12,7,0.5833333333333334
Comoros,2,1,0.5
Congo,2,0,0.5
Congo DR,8,5,0.625
Corsica,2,1,0.5
Costa Rica,10,2,0.2
County of Nice,1,1,0.5
Croatia,11,7,0.6363636363636364
Cuba,4,1,0.25
Curaçao,2,0,0.5
Cyprus,2,2,0.5
Czechia,4,3,0.75
Czechoslovakia,3,3,1.0
Côte d'Ivoire,18,10,0.5555555555555556
Denmark,7,2,0.2857142857142857
Djibouti,1,0,0.5
Ecuador,4,2,0.5
Egypt,26,15,0.5769230769230769
El Salvador,2,0,0.5
Ellan Vannin,4,2,0.5
England,12,4,0.3333333333333333
Equatorial Guinea,5,1,0.2
Estonia,6,2,0.3333333333333333
Eswatini,10,5,0.5
Ethiopia,8,7,0.875
Falkland Islands,1,0,0.5
Felvidék,2,1,0.5
Fiji,2,1,0.5
Finland,6,2,0.3333333333333333
France,11,5,0.45454545454545453
French Guiana,4,0,0.0
Gabon,15,5,0.3333333333333333
Gambia,4,3,0.75
Georgia,2,1,0.5
Germany,8,6,0.75
Ghana,13,5,0.38461538461538464
Gibraltar,1,0,0.5
Gozo,2,2,0.5
Greece,3,0,0.0
Greenland,2,2,0.5
Grenada,1,0,0.5
Guadeloupe,4,2,0.5
Guatemala,5,4,0.8
Guernsey,6,2,0.3333333333333333
Guinea,10,8,0.8
Guinea-Bissau,2,0,0.5
Guyana,2,1,0.5
Haiti,2,1,0.5
Hitra,1,0,0.5
Honduras,9,5,0.5555555555555556
Hong Kong,5,1,0.2
Hungary,1,1,0.5
IR Iran,23,10,0.43478260869565216
Iceland,2,2,0.5
India,11,5,0.45454545454545453
Indonesia,11,10,0.9090909090909091
Iraq,15,11,0.7333333333333333
Iraqi Kurdistan,6,1,0.16666666666666666
Isle of Man,1,0,0.5
Israel,2,1,0.5
Italy,15,7,0.4666666666666667
Jamaica,3,1,0.3333333333333333
Japan,12,5,0.4166666666666667
Jersey,6,4,0.6666666666666666
Jordan,3,0,0.0
Kabylia,1,1,0.5
Kazakhstan,3,3,1.0
Kenya,16,10,0.625
Korea Republic,32,19,0.59375
Kuwait,10,4,0.4
Kárpátalja,3,2,0.6666666666666666
Latvia,6,4,0.6666666666666666
Lebanon,1,0,0.5
Lesotho,13,7,0.5384615384615384
Liberia,1,0,0.5
Libya,6,1,0.16666666666666666
Lithuania,2,0,0.5
Madagascar,8,2,0.25
Malawi,18,4,0.2222222222222222
Malaysia,10,4,0.4
Maldives,2,0,0.5
Mali,18,8,0.4444444444444444
Martinique,9,7,0.7777777777777778
Matabeleland,1,0,0.5
Mauritania,2,0,0.5
Mauritius,10,4,0.4
Mayotte,3,2,0.6666666666666666
Menorca,2,1,0.5
Mexico,14,7,0.5
Moldova,1,0,0.5
Morocco,14,6,0.42857142857142855
Mozambique,13,8,0.6153846153846154
Myanmar,2,1,0.5
Namibia,10,5,0.5
Nepal,3,2,0.6666666666666666
Netherlands,10,2,0.2
New Caledonia,5,3,0.6
New Zealand,4,1,0.25
Niger,4,1,0.25
Nigeria,17,10,0.5882352941176471
North Macedonia,1,0,0.5
Northern Cyprus,4,2,0.5
Northern Ireland,1,1,0.5
Occitania,1,0,0.5
Oman,5,4,0.8
Orkney,1,0,0.5
Padania,6,6,1.0
Pakistan,1,0,0.5
Palestine,1,1,0.5
Panama,7,5,0.7142857142857143
Panjab,2,1,0.5
Papua New Guinea,2,0,0.5
Paraguay,13,6,0.46153846153846156
Peru,5,2,0.4
Philippines,1,0,0.5
Poland,4,3,0.75
Portugal,8,5,0.625
Provence,1,0,0.5
Puerto Rico,1,1,0.5
Qatar,9,5,0.5555555555555556
Raetia,1,1,0.5
Republic of Ireland,4,1,0.25
Romania,4,1,0.25
Russia,7,2,0.2857142857142857
Rwanda,5,2,0.4
Réunion,6,4,0.6666666666666666
Saare County,1,0,0.5
Saint Kitts and Nevis,4,2,0.5
Saint Lucia,2,1,0.5
Saudi Arabia,9,7,0.7777777777777778
Scotland,2,2,0.5
Sealand,2,1,0.5
Senegal,21,11,0.5238095238095238
Serbia,3,1,0.3333333333333333
Seychelles,4,4,1.0
Shetland,1,0,0.5
Sierra Leone,8,2,0.25
Singapore,10,3,0.3
Sint Maarten,1,0,0.5
Slovakia,2,2,0.5
Slovenia,2,1,0.5
Solomon Islands,3,1,0.3333333333333333
Somalia,3,0,0.0
South Africa,28,13,0.4642857142857143
South Ossetia,2,2,0.5
Spain,14,7,0.5
Sri Lanka,5,3,0.6
Sudan,3,1,0.3333333333333333
Suriname,4,2,0.5
Sweden,6,4,0.6666666666666666
Switzerland,8,2,0.25
Syria,11,4,0.36363636363636365
Székely Land,1,0,0.5
Sápmi,1,1,0.5
Tahiti,2,2,0.5
Taiwan,1,1,0.5
Tajikistan,4,3,0.75
Tanzania,9,4,0.4444444444444444
Thailand,22,13,0.5909090909090909
Tibet,1,0,0.5
Togo,4,3,0.75
Trinidad and Tobago,5,2,0.4
Tunisia,13,7,0.5384615384615384
Turks and Caicos Islands,2,0,0.5
Türkiye,1,1,0.5
Uganda,18,7,0.3888888888888889
Ukraine,4,3,0.75
United Arab Emirates,11,5,0.45454545454545453
United Koreans in Japan,3,2,0.6666666666666666
United States,10,6,0.6
United States Virgin Islands,2,1,0.5
Uruguay,17,9,0.5294117647058824
Uzbekistan,5,2,0.4
Vanuatu,2,1,0.5
Venezuela,3,0,0.0
Vietnam,2,2,0.5
Vietnam Republic,3,2,0.6666666666666666
Wales,2,0,0.5
Western Armenia,2,2,0.5
Western Isles,2,1,0.5
Yemen,1,0,0.5
Ynys Môn,2,1,0.5
Yugoslavia,2,0,0.5
Zambia,25,14,0.56
Zanzibar,3,2,0.6666666666666666
Zimbabwe,15,7,0.4666666666666667
Åland Islands,3,3,1.0
